,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster,Station,Latitude,Longitude
3,0.16666666666666666,0.3333333333333333,0.4,0.45569620253164556,0.23684210526315788,0.09090909090909091,0.14634146341463417,0.09090909090909091,0.16981132075471697,1.0,2,New Delhi,28.6436415,77.2217373
8,0.5833333333333333,0.13333333333333333,0.4,0.37974683544303794,0.2631578947368421,0.36363636363636365,0.43902439024390244,0.4545454545454546,0.1509433962264151,0.1111111111111111,2,IFFCO Chowk,28.4723277,77.0724222
10,0.25,0.2,0.6000000000000001,0.35443037974683544,0.10526315789473684,0.4545454545454546,0.8292682926829269,0.36363636363636365,0.09433962264150943,0.20634920634920634,2,HUDA City Centre,28.4593429,77.0726571
15,0.3333333333333333,0.4,0.6000000000000001,0.11392405063291139,0.23684210526315788,0.5454545454545454,0.5609756097560976,0.2727272727272727,0.09433962264150943,0.14285714285714285,2,Guru Dronacharya,28.4820212,77.10226850000002
17,0.25,0.4,0.6000000000000001,0.43037974683544306,0.3421052631578947,0.4545454545454546,0.41463414634146345,0.36363636363636365,0.09433962264150943,0.09523809523809523,2,Green Park,28.5585815,77.20671829999998
22,0.8333333333333333,0.6666666666666666,0.8,0.24050632911392406,0.07894736842105263,0.4545454545454546,0.21951219512195122,0.36363636363636365,0.16981132075471697,0.1111111111111111,2,Chawri Bazar,28.6501605,77.2295008
24,0.3333333333333333,0.5333333333333333,0.8,0.11392405063291139,0.21052631578947367,0.4545454545454546,0.8780487804878049,0.2727272727272727,0.09433962264150943,0.2222222222222222,2,Central Secretariat,28.6158794,77.2122822
25,0.3333333333333333,0.2,0.6000000000000001,0.24050632911392406,0.15789473684210525,0.09090909090909091,0.2682926829268293,0.2727272727272727,0.11320754716981132,0.07936507936507936,2,AIIMS,28.5668602,77.2078058
33,0.25,0.5333333333333333,1.0,0.06329113924050633,0.02631578947368421,0.36363636363636365,0.5853658536585367,0.18181818181818182,0.07547169811320754,0.031746031746031744,2,Udyog Bhawan,28.6105302,77.21310759999999
37,0.5833333333333333,0.5333333333333333,0.8,0.25316455696202533,0.05263157894736842,0.2727272727272727,0.0975609756097561,0.36363636363636365,0.18867924528301885,0.3333333333333333,2,Kashmere Gate,28.6517178,77.22193879999998
40,0.5833333333333333,0.5333333333333333,0.8,0.25316455696202533,0.05263157894736842,0.2727272727272727,0.0975609756097561,0.36363636363636365,0.18867924528301885,0.3333333333333333,2,Inderlok,28.6517178,77.22193879999998
41,0.5833333333333333,0.5333333333333333,0.8,0.25316455696202533,0.05263157894736842,0.2727272727272727,0.0975609756097561,0.36363636363636365,0.18867924528301885,0.3333333333333333,2,Welcome,28.6517178,77.22193879999998
51,0.16666666666666666,0.5333333333333333,0.2,0.4177215189873418,0.18421052631578946,0.6363636363636364,0.1951219512195122,0.18181818181818182,0.1320754716981132,0.873015873015873,2,Raj Bagh,28.6408602,77.20949990000003
