Station,Line,Latitude,Longitude
Adarsh Nagar,Yellow Line,28.7144008,77.1672884
AIIMS,Yellow Line,28.5668602,77.2078058
Akshardham,Blue Line,28.61784195,77.27948814325397
Anand Vihar ISBT,Blue Line branch,28.6467533,77.3180037
Arjan Garh,Yellow Line,28.4807352,77.1257622
Arthala,Red Line,28.676999,77.3918919
Ashok Park Main,Green Line,28.6716045,77.155291
Ashram,Pink Line,28.5724231,77.2585979
Azadpur,Yellow Line,28.7076568,77.1755473
Badarpur Border,Violet Line,28.4904999,77.3040379
Badkhal Mor,Violet Line,,
Bahadurgarh City,Green Line,28.6907847,76.9354851
Barakhambha Road,Blue Line,28.6297676,77.2250046
Bata Chowk,Violet Line,28.3858361,77.313462
Bhikaji Cama Place,Pink Line,28.56790025,77.18701648353385
Botanical Garden,Blue Line,28.5638964,77.334332
Brigadier Hoshiyar Singh,Green Line,28.6974603,76.9192027
Central Secretariat,Yellow Line,28.6158794,77.2122822
Chandni Chowk,Yellow Line,28.6605039,77.2297797
Chawri Bazar,Yellow Line,28.6501605,77.2295008
Chhatarpur,Yellow Line,28.5067242,77.1750019
Chirag Delhi,Magenta Line,28.5381411,77.2280694
Civil Lines,Yellow Line,28.6768508,77.2250299
Dabri Mor-Janakpuri South,Magenta Line,28.6157555,77.085178
Dashrath Puri,Magenta Line,28.6018751,77.0823561
Delhi Aerocity,Orange Line,28.5487982,77.1208089
Delhi Cantonment,Pink Line,28.593833099999998,77.13497891459929
Delhi Gate,Violet Line,28.639203600000002,77.2407823
Dhaula Kuan,Orange Line,28.5918905,77.1617034
Dilshad Garden,Red Line,28.67588615,77.32143997586601
Durgabai Deshmukh South Campus,Pink Line,28.5894384,77.1690817
Dwarka,Blue Line,28.5771915,77.0442935
Dwarka Mor,Blue Line,28.61931,77.0332792
Dwarka Sector 8,Blue Line,28.5656109,77.0670366
Dwarka Sector 9,Blue Line,28.574272,77.0653316
Dwarka Sector 10,Blue Line,28.5810577,77.0574996
Dwarka Sector 11,Blue Line,28.5864469,77.0494375
Dwarka Sector 12,Blue Line,28.5922362,77.0407315
Dwarka Sector 13,Blue Line,28.597009,77.0335407
Dwarka Sector 14,Blue Line,28.60225285,77.02595656497819
Dwarka Sector 21,Blue Line,28.5518376,77.0586489
East Azad Nagar,Pink Line,28.6646964,77.284881
East Vinod Nagar – Mayur Vihar-II,Pink Line,28.6200437,77.3054069
Escorts Mujesar,Violet Line,28.3702344,77.3149203
ESI Hospital,Pink Line,28.6580737,77.1272678
Ghevra,Green Line,28.6852384,76.9961591
Ghitorni,Yellow Line,28.493751,77.1491866
Gokulpuri,Pink Line,28.7024752,77.2861253
Golf Course,Blue Line,28.59778075,77.15981693149558
Govind Puri,Violet Line,28.5443766,77.264266
Greater Kailash,Magenta Line,28.5418777,77.2384553
Green Park,Yellow Line,28.5585815,77.2067183
GTB Nagar,Yellow Line,28.6981317,77.2064113
Guru Dronacharya,Yellow Line,28.4820212,77.1022685
Haiderpur,Yellow Line,28.7301214,77.14940289658404
Harkesh Nagar Okhla,Violet Line,28.5431246,77.2755616
Hauz Khas,Yellow Line,28.5442564,77.2067072
Hazrat Nizamuddin,Pink Line,28.5887494,77.2572494
Hindon,Red Line,28.878965,77.4154832
HUDA City Centre,Yellow Line,28.4593429,77.0726571
IFFCO Chowk,Yellow Line,28.4723277,77.0724222
INA,Yellow Line,28.57440755,77.21024148189088
Inderlok,Red Line,28.6517178,77.2219388
Indira Gandhi International Airport,Orange Line,28.55489735,77.08467458266915
Indraprastha,Blue Line,28.6206019,77.249551
IP Extension,Pink Line,28.628899099999998,77.31019787919774
ITO,Violet Line,28.6305091,77.2414363
Jaffrabad,Pink Line,28.6826822,77.2748055
Jahangirpuri,Yellow Line,28.7259717,77.162658
Jama Masjid,Violet Line,28.65001015,77.23767616659065
Jamia Millia Islamia,Magenta Line,28.55849025,77.28116473551759
Janakpuri East,Blue Line,28.633021,77.086757
Janakpuri West,Blue Line,28.6289502,77.0779235
Jangpura,Violet Line,28.582457050000002,77.2415000727384
Janpath,Violet Line,28.6088598,77.2181649
Jasola Apollo,Violet Line,28.5384251,77.2830377
Jasola Vihar Shaheen Bagh,Magenta Line,28.5458279,77.2966578
Jawaharlal Nehru Stadium,Violet Line,28.58337705,77.23354040287734
Jhandewalan,Blue Line,28.6443188,77.1999165
Jhilmil,Red Line,28.6757033,77.31250457549734
Johari Enclave,Pink Line,,
Jor Bagh,Yellow Line,28.58823925,77.21652774187173
Kailash Colony,Violet Line,28.5530522,77.2429694
Kalindi Kunj,Magenta Line,28.5452187,77.3059891
Kalkaji Mandir,Violet Line,28.5497752,77.2606671
Kanhaiya Nagar,Red Line,28.6800635,77.1648445
Karkarduma,Blue Line branch,28.6491622,77.3062081096126
Karkarduma Court,Pink Line,28.6536001,77.2957877
Karol Bagh,Blue Line,28.6441866,77.189132
Kashmere Gate,Red Line,28.6517178,77.2219388
Kaushambi,Blue Line branch,28.6453286,77.3243485
Keshav Puram,Red Line,28.6889264,77.1616833
Khan Market,Violet Line,28.6001354,77.22649064087364
Kirti Nagar†,Blue Line,28.6532807,77.1417729
