,Station,Line,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,Adarsh Nagar,1,28.714400800000003,77.1672884,1,1,0,8,1,1,5,1,20,4
1,Ghitorni,1,28.493751,77.1491866,2,1,0,5,1,3,2,3,3,3
2,Jor Bagh,1,28.58823925,77.21652774187174,3,2,2,17,2,3,13,4,4,2
3,New Delhi,1,28.643641499999998,77.2217373,2,5,2,36,9,1,6,1,9,63
4,Jahangirpuri,1,28.7259717,77.162658,0,1,0,2,0,1,4,1,13,3
5,INA,1,28.57440755,77.21024148189088,6,3,0,6,3,4,7,2,6,5
6,Samaypur Badli,1,28.7446158,77.13826540000001,0,0,0,2,0,0,4,0,11,3
7,Saket,1,28.5244107,77.21372530000001,8,10,1,48,20,4,13,6,51,12
8,IFFCO Chowk,1,28.4723277,77.0724222,7,2,2,30,10,4,18,5,8,7
9,Rohini Sector 18,1,28.738347700000002,77.1398323,0,0,0,2,0,2,3,1,8,3
10,HUDA City Centre,1,28.4593429,77.0726571,3,3,3,28,4,5,34,4,5,13
11,Hauz Khas,1,28.544256400000002,77.20670720000001,4,6,1,21,8,4,18,3,8,6
12,Patel Chowk,1,28.6229664,77.214031,5,4,1,46,16,2,41,2,12,18
13,Haiderpur,1,28.730121399999998,77.14940289658405,0,1,0,4,1,2,4,2,8,4
14,Rajiv Chowk,1,28.6327804,77.2196996,5,4,5,72,38,7,27,2,39,28
15,Guru Dronacharya,1,28.4820212,77.10226850000001,4,6,3,9,9,6,23,3,5,9
16,GTB Nagar,1,28.698131699999998,77.2064113,2,6,0,17,1,7,6,4,0,2
17,Green Park,1,28.5585815,77.20671829999999,3,6,3,34,13,5,17,4,5,6
18,Sikandarpur,1,28.481270399999996,77.092999,2,7,0,29,9,4,36,1,23,8
19,Civil Lines,1,28.676850800000004,77.22502990000001,2,5,0,6,2,2,6,3,4,3
20,Model Town,1,28.7027136,77.1939912,1,2,0,11,1,4,11,3,7,4
21,Chhatarpur,1,28.506724199999997,77.17500190000001,5,2,0,5,1,1,5,3,9,6
22,Chawri Bazar,1,28.6501605,77.2295008,10,10,4,19,3,5,9,4,9,7
